Text Type,Institution Type,Rule/Norm/Strategy,Level of Analysis,Attribute_lo,Attribute_hi,Attribute_position,Deontic_lo,Deontic_hi,Deontic_position,aIm_lo,aIm_hi,aIm_position,oBject_lo,oBject_hi,oBject_position,Or Else_lo,Or Else_hi,Or Else_position,Condition_lo,Condition_hi,Condition_position
0.8,0.6,0.3,0.2,0.5,0.5,0.625,0.5,0.5,0.625,0.5,0.5,0.4375,0.5,0.5,0.3125,0.4,0.6,0.625,0.6,0.6,0.4375
0.6,1.0,0.5,0.4,0.9,0.9,0.47619047619047616,0.9,0.9,0.47619047619047616,0.9,0.9,0.47619047619047616,0.9,0.9,0.47619047619047616,0.7,0.9,0.42857142857142855,1.0,1.0,0.47619047619047616
0.9,0.7,0.3,0.2,0.6,0.6,2.5,0.6,0.6,2.5,0.6,0.6,1.75,0.6,0.6,1.75,0.4,0.6,2.5,1.0,1.0,2.5
0.4,0.9,0.4,0.3,0.9,0.9,0.7692307692307693,0.9,0.9,0.7692307692307693,0.9,0.9,0.6923076923076923,0.9,0.9,0.6923076923076923,0.7,0.9,0.6923076923076923,1.0,1.0,0.7692307692307693
0.9,0.7,0.3,0.2,0.6,0.6,0.8333333333333334,0.6,0.6,0.8333333333333334,0.6,0.6,0.8333333333333334,0.6,0.6,0.75,0.4,0.6,0.8333333333333334,0.9,0.9,0.75
0.7,1.0,0.5,0.4,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,0.8,1.0,2.5,1.0,1.0,2.5
0.9,0.7,0.3,0.2,0.6,0.6,1.1111111111111112,0.6,0.6,1.1111111111111112,0.6,0.6,0.7777777777777778,0.6,0.6,0.6666666666666666,0.4,0.6,1.1111111111111112,0.6,0.6,0.6666666666666666
0.7,1.0,0.5,0.4,0.9,0.9,1.25,0.9,0.9,1.25,0.9,0.9,1.25,0.9,0.9,1.25,0.7,0.9,1.125,0.9,0.9,1.25
0.8,0.7,0.3,0.2,0.6,0.6,0.5882352941176471,0.6,0.6,0.5882352941176471,0.6,0.6,0.35294117647058826,0.6,0.6,0.4117647058823529,0.4,0.6,0.5882352941176471,0.9,0.9,0.5294117647058824
0.7,1.0,0.5,0.4,0.9,0.9,2.5,0.9,0.9,2.5,0.9,0.9,2.5,1.0,1.0,2.5,0.7,0.9,2.25,1.0,1.0,2.5
0.9,0.7,0.3,0.2,0.6,0.6,2.0,0.6,0.6,2.0,0.6,0.6,1.8,0.6,0.6,1.2,0.4,0.6,2.0,1.0,1.0,2.0
0.7,1.0,0.5,0.4,0.9,0.9,2.5,0.9,0.9,2.5,0.9,0.9,2.5,0.9,0.9,2.5,0.7,0.9,2.25,1.0,1.0,2.5
0.9,0.7,0.3,0.2,0.6,0.6,1.25,0.6,0.6,1.25,0.6,0.6,0.875,0.6,0.6,0.75,0.4,0.6,1.25,1.0,1.0,1.25
0.7,1.0,0.5,0.4,0.9,0.9,2.5,0.9,0.9,2.5,0.9,0.9,2.5,1.0,1.0,2.5,0.7,0.9,2.25,1.0,1.0,2.5
0.6,0.8,0.3,0.2,0.6,0.6,0.2857142857142857,0.6,0.6,0.2857142857142857,0.7,0.7,0.22857142857142856,0.7,0.7,0.22857142857142856,0.4,0.6,0.2857142857142857,0.8,0.8,0.22857142857142856
0.8,1.0,0.5,0.4,0.9,0.9,5.0,0.9,0.9,5.0,0.9,0.9,5.0,1.0,1.0,5.0,0.7,0.9,4.5,1.0,1.0,5.0
0.9,0.7,0.3,0.2,0.6,0.6,0.5263157894736842,0.6,0.6,0.5263157894736842,0.6,0.6,0.3157894736842105,0.6,0.6,0.3684210526315789,0.4,0.6,0.5263157894736842,0.7,0.7,0.3684210526315789
0.7,1.0,0.5,0.4,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,0.8,1.0,2.5,1.0,1.0,2.5
0.9,0.7,0.3,0.2,0.6,0.6,0.6666666666666666,0.6,0.6,0.6666666666666666,0.6,0.6,0.6,0.6,0.6,0.4666666666666667,0.4,0.6,0.6666666666666666,0.7,0.7,0.4666666666666667
0.7,1.0,0.5,0.4,0.9,0.9,3.3333333333333335,0.9,0.9,3.3333333333333335,0.9,0.9,3.3333333333333335,1.0,1.0,3.3333333333333335,0.7,0.9,3.3333333333333335,1.0,1.0,3.3333333333333335
0.9,0.7,0.3,0.2,0.6,0.6,0.45454545454545453,0.6,0.6,0.45454545454545453,0.6,0.6,0.4090909090909091,0.6,0.6,0.2727272727272727,0.4,0.6,0.45454545454545453,0.8,0.8,0.36363636363636365
0.7,1.0,0.5,0.4,0.9,0.9,3.3333333333333335,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,0.8,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335
0.9,0.7,0.3,0.2,0.6,0.6,1.1111111111111112,0.6,0.6,1.1111111111111112,0.6,0.6,1.0,0.6,0.6,0.8888888888888888,0.4,0.6,1.1111111111111112,1.0,1.0,1.1111111111111112
0.7,1.0,0.5,0.4,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,0.8,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335
0.5,0.8,0.3,0.2,0.8,0.8,0.37037037037037035,0.8,0.8,0.37037037037037035,0.9,0.9,0.37037037037037035,0.9,0.9,0.37037037037037035,0.6,0.8,0.37037037037037035,1.0,1.0,0.37037037037037035
0.7,1.0,0.5,0.4,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,1.0,2.0,1.0,1.0,2.0
0.9,0.7,0.3,0.2,0.6,0.6,1.25,0.6,0.6,1.25,0.6,0.6,0.875,0.6,0.6,0.75,0.4,0.6,1.25,0.9,0.9,1.25
0.7,1.0,0.5,0.4,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,1.0,2.0,1.0,1.0,2.0
0.9,0.7,0.3,0.2,0.6,0.6,0.5555555555555556,0.6,0.6,0.5555555555555556,0.6,0.6,0.3888888888888889,0.6,0.6,0.3333333333333333,0.4,0.6,0.5555555555555556,0.7,0.7,0.5
0.7,1.0,0.5,0.4,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,1.0,2.0,1.0,1.0,2.0
0.9,0.7,0.3,0.2,0.6,0.6,1.25,0.6,0.6,1.25,0.6,0.6,0.875,0.6,0.6,0.75,0.4,0.6,1.25,1.0,1.0,1.25
0.7,1.0,0.5,0.4,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,1.0,2.0,1.0,1.0,2.0
